Country,Web_Index_score,GDP_average,Universal_Access,Users,Access_Electricity,Assumed,Region,Groups,European_Union,African_Union,OECD,OSCE,NAFTA,MERCOSUR,OIC,Arab_League,ECO
Argentina,55.2,11573.0649671755,47.1,55.8,97.2,,South_America,MERCOSUR,,, ,,,true,,,
Australia,86.4,67555.7620895355,82.4,82.3495485010082,,100,East_Asia_and_Pacific,,,,true,,,,,,
Austria,84.8,46642.2903264503,85.9,81,,100,Europe,,true,,true,true,,,,,
Bahrain,38.4,22466.9451808413,53.1,88,99.4,,Middle_East,,,,,,,,true,true,
Bangladesh,24.4,752.1560525138,25.1,6.3,46.5,,South_Asia,,,, ,,,,true,,
Belgium,75.2,43372.370713283,78.7,82,,100,Europe_and_Central_Asia,,true,,true,true,,,,,
Benin,16.1,751.9163167908,2.5,3.79770474077515,27.9,,Africa,, ,true,,,,,true,,
Botswana,17.4,7238.019365113,27.7,11.5,45.4,,Africa,, ,true,,,,,,,
Botswana,17.4,7238.019365113,27.7,11.5,45.4,,Africa,, ,true,,,,,,,
Brazil,58.7,11339.5211084814,49.6,49.847999364427,98.7,,South_America,MERCOSUR,,, ,,,true,,,
Burkina Faso,13.6,634.3209745958,4.8,3.72503491597675,14.6,,Africa,, ,true, ,,,,true,,
Cameroon,10.6,1166.9134098048,8.3,5.69898724036494,48.7,,Africa,, ,true, ,,,,true,,
Canada,84.3,52218.9936865123,79.4,86.7658644038714,,100,North_America,,,,true,true,true,,,,
Chile,68.9,15452.1735981951,57.6,61.4181545577569,99.4,,South_America,"MERCOSUR, OECD",,,true,,,true,,,
China,31.1,6091.0143517459,45.5,42.3001174855995,99.7,,East_Asia_and_Pacific,,,,,,,,,,
Colombia,60.1,7747.8413209319,54.2,48.9843188,97.4,,South_America,MERCOSUR,,, ,,,true,,,
Costa Rica,57.2,9386.3048352874,40.5,47.5009145244347,58.9,,Central_America_Caribean,,,,,,,,,,
Czech Republic,72.5,18682.8127693761,74.3,75,,,Europe_and_Central_Asia,,true,,true,true,,,,,
Denmark,92.4,56325.6584387785,96,93,,100,Europe_and_Central_Asia,,true,,true,true,,,,,
Ecuador,43.9,5424.6336106847,42.2,35.1345062239322,92.2,,South_America,MERCOSUR,,, ,,,true,,,
Egypt,24.5,3256.0184688792,32.3,39.83,99.6,,Africa,, ,true, ,,,,true,true,
Estonia,77.3,16716.6712522956,75.3,79,,100,Europe_and_Central_Asia,,true,,true,true,,,,,
Ethiopia,1.8,453.5689927392,0,1.48281013861396,23,,Africa,, ,true, ,,,,,,
Finland,91.9,45720.7693697217,85.9,91,,100,Europe_and_Central_Asia,,true,,true,true,,,,,
France,90.9,39771.8428056603,82.3,83,,100,Europe_and_Central_Asia,,true,,true,true,,,,,
Germany,83.1,41862.7105230881,86.2,84,,100,Europe_and_Central_Asia,,true,,true,true,,,,,
Ghana,32.7,1604.9057822323,23.9,17.1076783234217,60.5,,Africa,, ,true, ,,,,,,
Greece,70.8,22082.8897548635,63.9,56,,100,Europe_and_Central_Asia,,true,,true,true,,,,,
